"inventory","year","listings","city","median"
6.7,2008,1000,"Abilene",110400
7.1,2008,1013,"Abilene",106400
7,2008,966,"Abilene",111200
7.2,2008,992,"Abilene",106900
6.3,2008,860,"Abilene",131600
6.3,2008,863,"Abilene",1e+05
6,2008,821,"Abilene",110000
6.3,2009,861,"Abilene",92900
6.5,2009,869,"Abilene",95700
6.7,2009,891,"Abilene",106400
6.7,2009,890,"Abilene",113800
7,2009,911,"Abilene",105500
6.2,2009,802,"Abilene",119300
6.3,2009,808,"Abilene",126200
6,2009,785,"Abilene",106900
5.7,2009,745,"Abilene",111200
5.5,2009,734,"Abilene",96800
5.4,2009,737,"Abilene",114300
5.2,2009,705,"Abilene",111400
6.4,2010,868,"Abilene",112200
6.1,2010,830,"Abilene",98300
6.3,2010,854,"Abilene",114000
6.3,2010,859,"Abilene",103600
6.5,2010,914,"Abilene",99300
6.7,2010,932,"Abilene",127900
6.6,2010,915,"Abilene",127300
6.7,2010,936,"Abilene",122000
6.5,2010,899,"Abilene",121300
6.4,2010,863,"Abilene",111900
6.4,2010,851,"Abilene",87900
6.3,2010,830,"Abilene",118300
6.1,2011,809,"Abilene",123300
6.3,2011,822,"Abilene",111200
6.5,2011,857,"Abilene",110000
6.6,2011,855,"Abilene",112000
6.7,2011,863,"Abilene",115300
6.4,2011,840,"Abilene",105400
6.4,2011,848,"Abilene",117900
5.8,2011,795,"Abilene",99000
5.5,2011,763,"Abilene",121400
5.3,2011,743,"Abilene",111100
5,2011,712,"Abilene",127300
4.8,2011,693,"Abilene",120000
4.8,2012,703,"Abilene",105600
4.8,2012,720,"Abilene",102000
4.7,2012,723,"Abilene",112000
4.6,2012,722,"Abilene",104400
7.1,2012,1125,"Abilene",111600
7.5,2012,1176,"Abilene",120000
7.5,2012,1176,"Abilene",127500
7.1,2012,1132,"Abilene",130600
6.8,2012,1095,"Abilene",123200
6.5,2012,1075,"Abilene",103200
6.3,2012,1036,"Abilene",125900
5.7,2012,952,"Abilene",106200
5.7,2013,966,"Abilene",125300
5.6,2013,943,"Abilene",94400
5.7,2013,958,"Abilene",102500
5.5,2013,948,"Abilene",113700
5.3,2013,923,"Abilene",130000
5.5,2013,960,"Abilene",127300
5.4,2013,969,"Abilene",140000
5.4,2013,976,"Abilene",120000
5.4,2013,985,"Abilene",127500
5.5,2013,993,"Abilene",119000
5.2,2013,946,"Abilene",113200
5.2,2013,938,"Abilene",104700
5.1,2014,922,"Abilene",117000
5,2014,906,"Abilene",127600
5.1,2014,929,"Abilene",112400
5.4,2014,965,"Abilene",124500
5.7,2014,1001,"Abilene",129300
5.8,2014,1023,"Abilene",135200
5.8,2014,1033,"Abilene",145800
5.8,2014,1024,"Abilene",129200
5.8,2014,1012,"Abilene",135900
5.6,2014,987,"Abilene",122400
5.3,2014,941,"Abilene",132200
4.6,2014,823,"Abilene",130000
4.4,2015,801,"Abilene",134100
4.1,2015,767,"Abilene",126500
4.4,2015,821,"Abilene",136800
4.7,2015,891,"Abilene",129600
4.8,2015,919,"Abilene",144700
5,2015,965,"Abilene",141500
5,2015,986,"Abilene",148700
5.3,2000,972,"Amarillo",80000
5.1,2000,937,"Amarillo",78300
5.5,2000,995,"Amarillo",74800
5.5,2000,985,"Amarillo",87700
5.6,2000,1020,"Amarillo",81100
5.9,2000,1055,"Amarillo",84100
6.8,2000,1193,"Amarillo",94300
6.6,2000,1208,"Amarillo",95300
6.9,2000,1248,"Amarillo",91000
6.7,2000,1191,"Amarillo",89000
6.7,2000,1174,"Amarillo",87300
6.3,2000,1092,"Amarillo",88300
6.2,2001,1087,"Amarillo",89000
5.9,2001,1037,"Amarillo",87100
5.9,2001,1030,"Amarillo",86300
6,2001,1055,"Amarillo",93200
5.9,2001,1064,"Amarillo",88300
6,2001,1092,"Amarillo",91200
6.2,2001,1141,"Amarillo",97100
6.2,2001,1144,"Amarillo",93900
6.1,2001,1137,"Amarillo",87600
5.9,2001,1137,"Amarillo",88400
5.8,2001,1137,"Amarillo",90000
5.5,2001,1072,"Amarillo",96000
5.5,2002,1071,"Amarillo",83300
5.5,2002,1090,"Amarillo",86400
5.2,2002,1046,"Amarillo",85300
5.5,2002,1106,"Amarillo",89100
5.8,2002,1140,"Amarillo",95600
6.1,2002,1191,"Amarillo",97700
6.4,2002,1266,"Amarillo",99600
6.6,2002,1256,"Amarillo",93900
6.4,2002,1214,"Amarillo",95800
6.6,2002,1242,"Amarillo",91900
6.6,2002,1249,"Amarillo",95000
6.4,2002,1205,"Amarillo",79600
6.4,2003,1205,"Amarillo",79600
6.2,2003,1173,"Amarillo",86700
6.9,2003,1293,"Amarillo",95500
6.7,2003,1279,"Amarillo",88900
7,2003,1360,"Amarillo",98300
7,2003,1382,"Amarillo",108900
6.9,2003,1412,"Amarillo",93500
6.7,2003,1422,"Amarillo",107400
6.3,2003,1406,"Amarillo",91900
6.1,2003,1387,"Amarillo",95600
5.9,2003,1349,"Amarillo",95000
5.3,2003,1242,"Amarillo",90900
5.1,2004,1215,"Amarillo",90400
5.1,2004,1219,"Amarillo",94500
4.8,2004,1186,"Amarillo",93500
4.8,2004,1196,"Amarillo",95500
4.8,2004,1199,"Amarillo",94400
4.9,2004,1248,"Amarillo",99600
4.8,2004,1250,"Amarillo",106100
4.9,2004,1246,"Amarillo",98400
4.9,2004,1241,"Amarillo",89700
4.7,2004,1196,"Amarillo",98000
4.5,2004,1154,"Amarillo",97700
4.3,2004,1090,"Amarillo",105500
4.2,2005,1072,"Amarillo",93900
4.2,2005,1079,"Amarillo",108300
3.9,2005,1023,"Amarillo",109200
4.1,2005,1082,"Amarillo",97700
4.3,2005,1132,"Amarillo",112700
4.4,2005,1156,"Amarillo",117000
4.6,2005,1221,"Amarillo",107200
4.6,2005,1224,"Amarillo",112600
4.4,2005,1201,"Amarillo",111800
4.8,2005,1240,"Amarillo",112400
4.3,2005,1121,"Amarillo",102500
4.6,2006,1181,"Amarillo",115000
4.6,2006,1183,"Amarillo",110700
4.8,2006,1238,"Amarillo",105100
4.9,2006,1248,"Amarillo",108700
5,2006,1286,"Amarillo",123000
5.5,2006,1439,"Amarillo",124300
5.7,2006,1511,"Amarillo",122200
5.1,2006,1435,"Amarillo",107400
4.9,2006,1393,"Amarillo",114200
4.4,2006,1252,"Amarillo",105200
4.5,2007,1304,"Amarillo",112600
4.4,2007,1273,"Amarillo",105000
4.6,2007,1311,"Amarillo",117100
4.5,2007,1313,"Amarillo",118400
4.8,2007,1408,"Amarillo",113800
5,2007,1458,"Amarillo",117700
5.3,2007,1549,"Amarillo",114400
5.5,2007,1584,"Amarillo",133100
5.6,2007,1578,"Amarillo",121800
5.4,2007,1513,"Amarillo",116100
5,2007,1373,"Amarillo",129000
5.2,2008,1421,"Amarillo",123600
5.1,2008,1413,"Amarillo",122700
4.9,2008,1336,"Amarillo",122300
5,2008,1387,"Amarillo",124900
5.5,2008,1498,"Amarillo",122200
5.7,2008,1519,"Amarillo",122600
5.9,2008,1564,"Amarillo",123100
5.7,2008,1519,"Amarillo",129500
5.6,2008,1480,"Amarillo",132700
5.6,2008,1474,"Amarillo",130000
5.8,2008,1471,"Amarillo",116500
5.7,2008,1437,"Amarillo",117900
5.8,2009,1430,"Amarillo",127300
6.1,2009,1458,"Amarillo",118800
6.3,2009,1470,"Amarillo",121200
6.7,2009,1533,"Amarillo",126000
6.7,2009,1506,"Amarillo",129500
6.8,2009,1543,"Amarillo",126000
7.2,2009,1588,"Amarillo",124600
7.3,2009,1589,"Amarillo",124700
7,2009,1520,"Amarillo",117600
6.7,2009,1470,"Amarillo",123700
5.9,2009,1360,"Amarillo",123500
5.4,2009,1261,"Amarillo",116500
5.7,2010,1311,"Amarillo",131200
5.8,2010,1338,"Amarillo",115000
6.4,2010,1472,"Amarillo",113500
6.3,2010,1474,"Amarillo",122800
6.1,2010,1449,"Amarillo",139400
7,2010,1643,"Amarillo",126200
6.8,2010,1592,"Amarillo",130300
6.8,2010,1550,"Amarillo",125800
6.8,2010,1527,"Amarillo",125500
6.2,2010,1341,"Amarillo",130700
6.5,2010,1381,"Amarillo",118900
6.9,2011,1480,"Amarillo",122700
6.6,2011,1409,"Amarillo",113800
6.7,2011,1435,"Amarillo",123500
7.1,2011,1470,"Amarillo",126200
7.5,2011,1507,"Amarillo",126600
7.5,2011,1513,"Amarillo",136000
7.3,2011,1511,"Amarillo",124400
7,2011,1534,"Amarillo",137100
6.8,2011,1496,"Amarillo",128000
5.2,2011,1147,"Amarillo",126800
5.9,2011,1328,"Amarillo",128100
5.1,2011,1153,"Amarillo",126700
5.7,2012,1302,"Amarillo",125500
5.6,2012,1277,"Amarillo",122500
5.7,2012,1315,"Amarillo",131000
5.8,2012,1355,"Amarillo",132100
5.9,2012,1373,"Amarillo",145000
5.9,2012,1400,"Amarillo",131500
6.1,2012,1446,"Amarillo",139300
6,2012,1377,"Amarillo",141800
5.7,2012,1335,"Amarillo",136600
5.5,2012,1309,"Amarillo",138500
5.2,2012,1252,"Amarillo",121500
4.6,2012,1124,"Amarillo",128300
4.9,2013,1215,"Amarillo",115000
4.8,2013,1184,"Amarillo",127700
4.5,2013,1130,"Amarillo",126200
4.8,2013,1209,"Amarillo",138900
5.2,2013,1346,"Amarillo",137900
5.4,2013,1366,"Amarillo",145100
5.3,2013,1374,"Amarillo",149700
5.4,2013,1385,"Amarillo",145600
5.4,2013,1367,"Amarillo",139700
5.1,2013,1296,"Amarillo",143700
4.9,2013,1229,"Amarillo",132400
4.5,2013,1146,"Amarillo",142200
4.7,2014,1183,"Amarillo",137500
4.5,2014,1146,"Amarillo",139000
4.6,2014,1160,"Amarillo",138100
4.8,2014,1202,"Amarillo",139400
5,2014,1243,"Amarillo",137000
5.1,2014,1304,"Amarillo",145700
5.3,2014,1352,"Amarillo",150900
5.2,2014,1337,"Amarillo",152500
5,2014,1284,"Amarillo",136700
5,2014,1291,"Amarillo",141100
4.7,2014,1212,"Amarillo",137900
4.3,2014,1106,"Amarillo",145200
4.3,2015,1120,"Amarillo",138500
4.2,2015,1084,"Amarillo",149400
3.9,2015,1051,"Amarillo",140900
3.8,2015,1041,"Amarillo",147200
3.9,2015,1085,"Amarillo",157900
4.4,2015,1213,"Amarillo",152100
4.5,2015,1247,"Amarillo",149700
3.7,2000,1417,"Arlington",94000
3.6,2000,1402,"Arlington",94300
3.4,2000,1347,"Arlington",98700
3.4,2000,1346,"Arlington",99000
3.4,2000,1360,"Arlington",103000
3.5,2000,1421,"Arlington",107900
3.6,2000,1434,"Arlington",105800
3.5,2000,1417,"Arlington",103400
3.5,2000,1418,"Arlington",110500
3.4,2000,1418,"Arlington",104100
3.3,2000,1370,"Arlington",107700
3.2,2000,1306,"Arlington",105700
3.4,2001,1428,"Arlington",105700
3.5,2001,1466,"Arlington",106400
3.6,2001,1516,"Arlington",109700
3.6,2001,1517,"Arlington",111600
3.7,2001,1592,"Arlington",114400
3.8,2001,1627,"Arlington",108500
3.9,2001,1693,"Arlington",116000
3.7,2001,1616,"Arlington",113600
3.8,2001,1656,"Arlington",112000
3.8,2001,1647,"Arlington",113200
3.6,2001,1583,"Arlington",111700
3.3,2001,1464,"Arlington",116400
3.4,2002,1542,"Arlington",112000
3.7,2002,1653,"Arlington",107500
3.7,2002,1643,"Arlington",113700
3.8,2002,1683,"Arlington",111800
3.9,2002,1741,"Arlington",116100
4.1,2002,1811,"Arlington",116300
4.4,2002,1925,"Arlington",119100
4.4,2002,1909,"Arlington",117200
4.5,2002,1955,"Arlington",116100
4.7,2002,2050,"Arlington",116000
4.6,2002,1999,"Arlington",116600
4.6,2002,1976,"Arlington",117100
5,2003,2155,"Arlington",114500
5,2003,2194,"Arlington",119500
5.4,2003,2345,"Arlington",119900
5.8,2003,2478,"Arlington",113800
5.9,2003,2544,"Arlington",118000
6.3,2003,2731,"Arlington",122900
6.5,2003,2799,"Arlington",123500
6.4,2003,2801,"Arlington",123900
6.2,2003,2708,"Arlington",119200
6,2003,2637,"Arlington",123400
5.8,2003,2539,"Arlington",123100
5.5,2003,2426,"Arlington",120200
6,2004,2638,"Arlington",114500
6.2,2004,2709,"Arlington",120400
6.4,2004,2823,"Arlington",117000
6.5,2004,2915,"Arlington",117100
6.5,2004,2922,"Arlington",118300
6.4,2004,2893,"Arlington",121300
6.4,2004,2900,"Arlington",123800
6.3,2004,2833,"Arlington",121500
6.1,2004,2777,"Arlington",120300
6.1,2004,2769,"Arlington",124100
5.8,2004,2640,"Arlington",123700
5.4,2004,2475,"Arlington",123300
5.7,2005,2671,"Arlington",120500
6.1,2005,2828,"Arlington",122200
6.2,2005,2890,"Arlington",123900
6.3,2005,2954,"Arlington",124600
6.2,2005,2963,"Arlington",124200
6.4,2005,3102,"Arlington",127000
6.5,2005,3172,"Arlington",135100
5.7,2005,2846,"Arlington",134100
5.6,2005,2844,"Arlington",130700
5.4,2005,2769,"Arlington",130500
4.9,2005,2537,"Arlington",135600
5.3,2006,2720,"Arlington",125200
5.5,2006,2843,"Arlington",125500
5.6,2006,2950,"Arlington",129500
5.7,2006,3008,"Arlington",128600
5.8,2006,3099,"Arlington",129300
5.8,2006,3122,"Arlington",134300
5.9,2006,3207,"Arlington",132600
5.8,2006,3178,"Arlington",130900
5.9,2006,3215,"Arlington",131800
5.7,2006,3126,"Arlington",128800
5.5,2006,3019,"Arlington",133100
5.2,2006,2829,"Arlington",134100
5.4,2007,2967,"Arlington",130500
5.5,2007,3042,"Arlington",126800
5.7,2007,3160,"Arlington",131700
5.8,2007,3209,"Arlington",129200
5.8,2007,3161,"Arlington",128000
5.9,2007,3140,"Arlington",133200
6,2007,3208,"Arlington",135700
5.9,2007,3049,"Arlington",128300
5.9,2007,3029,"Arlington",132300
6,2007,3020,"Arlington",128600
5.6,2007,2794,"Arlington",132900
5.3,2007,2580,"Arlington",126200
5.5,2008,2652,"Arlington",128000
5.5,2008,2606,"Arlington",127000
5.8,2008,2660,"Arlington",131100
5.9,2008,2676,"Arlington",130400
5.7,2008,2578,"Arlington",131700
5.9,2008,2587,"Arlington",131400
6,2008,2546,"Arlington",136600
5.8,2008,2415,"Arlington",130700
5.3,2008,2241,"Arlington",127900
5.3,2008,2203,"Arlington",126300
5.3,2008,2139,"Arlington",123200
4.9,2008,1957,"Arlington",130200
5.1,2009,2000,"Arlington",121300
5.3,2009,2060,"Arlington",127400
5.5,2009,2094,"Arlington",123900
5.5,2009,2056,"Arlington",127100
6.1,2009,2191,"Arlington",128200
5.5,2009,1944,"Arlington",135100
5.5,2009,1943,"Arlington",131400
5.3,2009,1864,"Arlington",132900
5.1,2009,1754,"Arlington",126100
5.1,2009,1787,"Arlington",131700
4.8,2009,1708,"Arlington",127600
4.7,2009,1673,"Arlington",132400
4.9,2010,1750,"Arlington",123100
5.1,2010,1839,"Arlington",126000
5.2,2010,1877,"Arlington",129700
5,2010,1847,"Arlington",130100
5.3,2010,2016,"Arlington",132300
5.9,2010,2221,"Arlington",134600
6.4,2010,2313,"Arlington",133200
6.3,2010,2226,"Arlington",135000
6.2,2010,2161,"Arlington",128000
5.9,2010,1993,"Arlington",127500
5.8,2010,1905,"Arlington",127100
5.6,2010,1821,"Arlington",130000
5.7,2011,1830,"Arlington",114400
5.8,2011,1827,"Arlington",120400
6.2,2011,1909,"Arlington",123000
6.5,2011,1932,"Arlington",120000
6.8,2011,1941,"Arlington",123100
6.7,2011,1930,"Arlington",126900
6.3,2011,1843,"Arlington",126700
5.8,2011,1754,"Arlington",130000
5.3,2011,1634,"Arlington",129300
5.1,2011,1576,"Arlington",126900
4.7,2011,1463,"Arlington",130900
4.3,2011,1333,"Arlington",119600
4.2,2012,1321,"Arlington",115300
4,2012,1266,"Arlington",118500
4,2012,1270,"Arlington",132200
4.1,2012,1310,"Arlington",131400
4,2012,1322,"Arlington",134100
3.9,2012,1303,"Arlington",143100
3.8,2012,1308,"Arlington",139500
3.6,2012,1240,"Arlington",137500
3.5,2012,1204,"Arlington",127600
3.4,2012,1173,"Arlington",131700
3.1,2012,1080,"Arlington",125200
2.7,2012,958,"Arlington",126200
2.5,2013,900,"Arlington",123100
2.5,2013,932,"Arlington",131600
2.5,2013,916,"Arlington",132700
2.4,2013,888,"Arlington",146700
2.4,2013,921,"Arlington",146500
2.5,2013,1000,"Arlington",149200
2.7,2013,1053,"Arlington",150200
2.6,2013,1042,"Arlington",149600
2.3,2013,954,"Arlington",144800
2.2,2013,910,"Arlington",144400
2,2013,824,"Arlington",143800
1.8,2013,771,"Arlington",144600
1.8,2014,768,"Arlington",140600
1.8,2014,740,"Arlington",147400
1.7,2014,723,"Arlington",157500
1.8,2014,782,"Arlington",154800
2,2014,846,"Arlington",161600
2.1,2014,878,"Arlington",159900
2.1,2014,882,"Arlington",159200
2,2014,839,"Arlington",168300
1.8,2014,773,"Arlington",156000
1.6,2014,709,"Arlington",157100
1.4,2014,631,"Arlington",155200
1.4,2014,606,"Arlington",161000
1.3,2015,552,"Arlington",159700
1.3,2015,544,"Arlington",162400
1.3,2015,547,"Arlington",164300
1.3,2015,570,"Arlington",166600
1.4,2015,614,"Arlington",179100
1.6,2015,682,"Arlington",180000
1.7,2015,752,"Arlington",178900
2,2000,3084,"Austin",133700
2,2000,2989,"Austin",134000
2,2000,3042,"Austin",136700
2.1,2000,3192,"Austin",136900
2.3,2000,3617,"Austin",144700
2.4,2000,3799,"Austin",148800
2.6,2000,3944,"Austin",149300
2.6,2000,3948,"Austin",146300
2.6,2000,4058,"Austin",148700
2.6,2000,4100,"Austin",150100
2.7,2000,4114,"Austin",148000
2.6,2000,4005,"Austin",149900
2.8,2001,4435,"Austin",142000
3.4,2001,5325,"Austin",151000
3.9,2001,6097,"Austin",148500
4.4,2001,6800,"Austin",151100
4.9,2001,7523,"Austin",151900
5.3,2001,8177,"Austin",151500
5.5,2001,8406,"Austin",155500
5.5,2001,8374,"Austin",153800
5.6,2001,8503,"Austin",146800
5.4,2001,8135,"Austin",139700
4.9,2001,7378,"Austin",152400
4.4,2001,6810,"Austin",155700
4.4,2002,6851,"Austin",152600
4.6,2002,7190,"Austin",157300
4.9,2002,7625,"Austin",156600
5.3,2002,8226,"Austin",156200
5.8,2002,9109,"Austin",156000
6.1,2002,9620,"Austin",158900
6.3,2002,9863,"Austin",151700
6.3,2002,9843,"Austin",156900
6.3,2002,9854,"Austin",152400
6.2,2002,9747,"Austin",150300
5.9,2002,9189,"Austin",149800
5.7,2002,8854,"Austin",151600
5.9,2003,9163,"Austin",144100
6.2,2003,9541,"Austin",150600
6.6,2003,10152,"Austin",153000
7,2003,10756,"Austin",154700
7.4,2003,11071,"Austin",156800
7.3,2003,11000,"Austin",162400
7.1,2003,10929,"Austin",160500
6.8,2003,10761,"Austin",155300
6.6,2003,10649,"Austin",151500
6.4,2003,10475,"Austin",152700
6.1,2003,9939,"Austin",151500
5.8,2003,9644,"Austin",155600
6,2004,9853,"Austin",144400
6.3,2004,10442,"Austin",148900
6.5,2004,10769,"Austin",154100
6.4,2004,10895,"Austin",154500
6.4,2004,11104,"Austin",155500
6.2,2004,11122,"Austin",160100
6.1,2004,11028,"Austin",158700
5.9,2004,10797,"Austin",152800
5.7,2004,10436,"Austin",158200
5.5,2004,10141,"Austin",150300
5,2004,9277,"Austin",147500
4.7,2004,8863,"Austin",154000
4.7,2005,8909,"Austin",148300
4.7,2005,9198,"Austin",156900
4.8,2005,9515,"Austin",154700
4.9,2005,9780,"Austin",158200
4.5,2005,9204,"Austin",159500
4.6,2005,9455,"Austin",166100
4.7,2005,9726,"Austin",165800
4.3,2005,9095,"Austin",167500
4,2005,8605,"Austin",158400
3.8,2005,8419,"Austin",158800
3.6,2005,7933,"Austin",167900
3.5,2005,7738,"Austin",168600
3.6,2006,8098,"Austin",167900
3.6,2006,8259,"Austin",165700
3.7,2006,8677,"Austin",166700
3.8,2006,8965,"Austin",171600
3.8,2006,8996,"Austin",170300
3.8,2006,9267,"Austin",175400
3.7,2006,9134,"Austin",174600
3.6,2006,8932,"Austin",179400
3.7,2006,9097,"Austin",167000
3.6,2006,8894,"Austin",174500
3.3,2006,8289,"Austin",172200
3.1,2006,7735,"Austin",175900
3.1,2007,7784,"Austin",174400
3.2,2007,7991,"Austin",177500
3.4,2007,8696,"Austin",177300
3.7,2007,9385,"Austin",181900
3.9,2007,9987,"Austin",183500
4.1,2007,10351,"Austin",191000
4.3,2007,10757,"Austin",188900
4.5,2007,11172,"Austin",190600
4.7,2007,11379,"Austin",182500
4.6,2007,11028,"Austin",181700
4,2007,9599,"Austin",185200
4.2,2007,9866,"Austin",189300
4.5,2008,10403,"Austin",185300
4.7,2008,10861,"Austin",180300
5.1,2008,11431,"Austin",188800
5.3,2008,11833,"Austin",187000
5.7,2008,12415,"Austin",193800
6,2008,12769,"Austin",196400
6.2,2008,12728,"Austin",190900
6,2008,12078,"Austin",194300
6,2008,11907,"Austin",181800
5.9,2008,11635,"Austin",188500
5.7,2008,10869,"Austin",180100
5.4,2008,10089,"Austin",179600
5.7,2009,10373,"Austin",176000
6.1,2009,10929,"Austin",187600
6.5,2009,11280,"Austin",179100
6.8,2009,11462,"Austin",186900
7,2009,11535,"Austin",193400
7.1,2009,11681,"Austin",195600
7,2009,11449,"Austin",189900
6.8,2009,10940,"Austin",187800
6.4,2009,10486,"Austin",184800
6.2,2009,10300,"Austin",179300
5.7,2009,9836,"Austin",176100
5.4,2009,9366,"Austin",187800
5.7,2010,9931,"Austin",175300
6.2,2010,10825,"Austin",182600
6.7,2010,11846,"Austin",179400
6.7,2010,12270,"Austin",185100
6.9,2010,12786,"Austin",188600
7.2,2010,13353,"Austin",200500
7.4,2010,13336,"Austin",213600
7.1,2010,12575,"Austin",195200
6.8,2010,11834,"Austin",190500
6.5,2010,11003,"Austin",193300
6,2010,9906,"Austin",180600
5.6,2010,9284,"Austin",191200
5.6,2011,9287,"Austin",185100
5.9,2011,9795,"Austin",188000
6.4,2011,10464,"Austin",184400
6.9,2011,11030,"Austin",191600
6.9,2011,11033,"Austin",194800
6.9,2011,10958,"Austin",199900
6.4,2011,10577,"Austin",193900
5.8,2011,9774,"Austin",193900
5.5,2011,9489,"Austin",186900
5.1,2011,8874,"Austin",188900
4.6,2011,8054,"Austin",184700
4.2,2011,7473,"Austin",188300
4.2,2012,7432,"Austin",177400
4.3,2012,7738,"Austin",191600
4.5,2012,8186,"Austin",198600
4.5,2012,8239,"Austin",207400
4.5,2012,8465,"Austin",210200
4.5,2012,8641,"Austin",216000
4.3,2012,8519,"Austin",211000
4,2012,8112,"Austin",205100
3.8,2012,7641,"Austin",196800
3.4,2012,7091,"Austin",197100
3.1,2012,6425,"Austin",198200
2.7,2012,5737,"Austin",211500
2.6,2013,5548,"Austin",199200
2.6,2013,5752,"Austin",206800
2.6,2013,5848,"Austin",217100
2.7,2013,6121,"Austin",227300
2.8,2013,6424,"Austin",228100
2.9,2013,6724,"Austin",234100
2.8,2013,6721,"Austin",227900
2.7,2013,6706,"Austin",218800
2.6,2013,6569,"Austin",224000
2.4,2013,6114,"Austin",218300
2.2,2013,5668,"Austin",217900
2,2013,5047,"Austin",226600
2,2014,5118,"Austin",213700
2.1,2014,5255,"Austin",229400
2.2,2014,5512,"Austin",235600
2.3,2014,5838,"Austin",237000
2.6,2014,6539,"Austin",243900
2.7,2014,7040,"Austin",248900
2.9,2014,7475,"Austin",246900
2.9,2014,7326,"Austin",243800
2.8,2014,7072,"Austin",238900
2.7,2014,6791,"Austin",239600
2.4,2014,6126,"Austin",242100
2.2,2014,5602,"Austin",245700
2.2,2015,5567,"Austin",237500
2.2,2015,5733,"Austin",245300
2.3,2015,5906,"Austin",253900
2.5,2015,6560,"Austin",270300
2.7,2015,7009,"Austin",271200
2.8,2015,7419,"Austin",270200
3,2015,7913,"Austin",264600
4.3,2000,1766,"Bay Area",100700
4.4,2000,1817,"Bay Area",110400
4.5,2000,1830,"Bay Area",113400
4.6,2000,1845,"Bay Area",107000
4.4,2000,1827,"Bay Area",115900
4.5,2000,1874,"Bay Area",122800
4.6,2000,1876,"Bay Area",114900
4.6,2000,1869,"Bay Area",119100
4.5,2000,1842,"Bay Area",111100
4.7,2000,1904,"Bay Area",108800
4.6,2000,1863,"Bay Area",116200
